depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;154922222;28.9;42.1052131;24.20217612;20/09/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;154942200;42.6;41.90702527;24.17978496;30/09/18;0;Woodland;Other mixed woodland;Forestry
0-20 cm;154942224;4.8;42.11952586;24.23017459;08/06/18;0;Cropland;Other non-permanent industrial crops;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;144163248;11.1;52.33333994;11.39372539;11/07/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154962180;109.1;41.72650556;24.16179649;01/10/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;154962244;33.5;42.29313719;24.29638351;01/09/18;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154982206;17.3;41.9533745;24.2397876;30/09/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;155002216;13.9;42.03850042;24.28459495;17/08/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;155022182;30.7;41.7340623;24.2368804;01/10/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;155062172;9.7;41.63870467;24.26325139;28/09/18;0;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;155062178;25.3;41.69184055;24.2757837;28/09/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;144343140;20.4;51.35957218;11.62245959;18/07/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155062268;50.7;42.48826674;24.46736003;18/09/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;155082224;40.3;42.09561297;24.39662249;25/09/18;0;Grassland;Grassland with sparse tree/shrub cover;Semi-natural and natural areas not in use
0-20 cm;155082228;44.2;42.13100564;24.40515965;01/09/18;0;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
