depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;148182826;14.7;48.34390372;16.7122817;16/06/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148242800;19.2;48.10616571;16.76163138;14/05/2018;0;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146342786;12;48.1073876;14.2035016;04/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148122780;31.6;47.93677674;16.57783537;14/05/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148122798;20.8;48.09800842;16.59875656;10/06/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146562632;11.2;46.71242592;14.37987973;02/07/2018;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146582638;29.6;46.76527679;14.4104669;25/05/2018;0;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146882664;24.4;46.98204967;14.82350227;20/06/2018;0;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146382686;32.5;47.20701685;14.18343475;23/06/2018;0;Cropland;Other fruit trees and berries;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147222654;43.3;46.87146094;15.26011538;30/05/2018;0;Cropland;Apple fruit;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147222676;33.2;47.06895544;15.27994053;04/07/2018;0;Cropland;Apple fruit;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147562650;15.1;46.81296314;15.70074642;10/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147642668;14.6;46.96887542;15.82306617;24/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147722698;19;47.23225331;15.95843327;07/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147762666;3.1;46.94234607;15.97816659;13/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147742710;19.9;47.33841761;15.99716302;04/06/2018;0;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147782686;16.1;47.12026971;16.02494715;26/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;127361846;10.3;37.99370508;-8.104139267;24/07/2018;0;Cropland;Olive groves;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;128661894;9.6;38.68398208;-6.765229741;07/08/2018;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147622718;28.1;47.4187931;15.84697644;10/05/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145642800;12.2;48.26503952;13.27278879;08/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145922802;22.3;48.27120359;13.65068032;20/06/2018;0;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145762794;11.8;48.2062195;13.4305462;07/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145902768;23.8;47.9665807;13.60202602;29/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145842808;16.3;48.32862057;13.54684775;18/06/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146082830;22.3;48.51539121;13.88525065;18/06/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146202782;13.9;48.07846152;14.01298108;15/06/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146902810;19.2;48.29155823;14.97484889;29/05/2018;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139443132;20.6;51.17377673;4.603690251;24/08/2018;0;Cropland;Nuts trees;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139743134;24.1;51.21081227;5.029903618;31/08/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139783128;30.2;51.15944996;5.092775544;12/09/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139843144;23.1;51.30649225;5.163310967;07/09/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139903096;45.6;50.87960307;5.293287451;01/09/2018;0;Cropland;Pear fruit;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;140003082;17.4;50.75972455;5.447431537;14/09/2018;0;Cropland;Other Leguminous  and mixtures for fodder;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;143962686;39.8;47.28307539;10.99064648;23/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138763094;12.2;50.78453556;3.681099405;15/07/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138803102;8.9;50.8592347;3.72799327;12/07/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138803134;20.6;51.14565749;3.689017398;26/09/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138983116;11.7;50.99816685;3.966620661;20/07/2018;0;Cropland;Other Leguminous  and mixtures for fodder;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139123144;41;51.25912543;4.133669068;21/09/2018;0;Cropland;Other root crops;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139303122;42.2;51.07473643;4.414866851;22/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139543124;19.8;51.10862413;4.754539878;25/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139703092;18;50.83183563;5.013522111;11/08/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139883092;13.7;50.842573;5.268570515;01/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139743098;13.7;50.88806524;5.064484487;11/08/2018;0;Cropland;Apple fruit;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139803096;27.2;50.87373688;5.151465461;11/08/2018;0;Cropland;Pear fruit;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138043130;16.4;51.04595915;2.613431673;05/09/2018;0;Cropland;Other fibre and oleaginous crops;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138083128;17.2;51.03169874;2.673069721;05/09/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138103106;9.3;50.83686187;2.732404731;31/08/2018;0;Cropland;Other fresh vegetables;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138143104;10.7;50.82253646;2.791732061;31/08/2018;0;Cropland;Other Leguminous  and mixtures for fodder;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139963136;25;51.24176252;5.342385563;14/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138383124;12.5;51.02213031;3.10449379;16/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139023088;11.8;50.75037795;4.055622507;18/08/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138403112;11;50.9164974;3.148808539;16/08/2018;0;Cropland;Other fresh vegetables;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138683122;11.7;51.02884946;3.533181895;11/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138463106;9.5;50.86784147;3.241649166;06/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
